Area,All Ages,Aged 0 to 17,Aged 18 to 24,Aged 25 to 49,Aged 50 to 64,Aged 65+
Dartford,"125,011","31,711","7,760","47,784","21,001","16,755"
Dover,"119,768","23,601","7,177","34,188","25,066","29,736"
Gravesham,"110,671","26,654","7,877","37,139","20,281","18,720"
Maidstone,"187,767","41,519","11,647","63,028","35,961","35,612"
Sevenoaks,"122,748","27,344","7,086","35,930","25,196","27,192"
Folkestone and Hythe,"112,411","21,130","6,785","31,678","23,915","28,903"
Swale,"158,379","35,029","10,554","51,005","31,384","30,407"
Thanet,"142,691","28,876","8,784","42,185","28,804","34,042"
Tonbridge and Malling,"136,853","30,805","8,229","43,539","27,702","26,578"
Tunbridge Wells,"119,694","27,417","6,330","37,339","24,584","24,024"
Cherwell,"170,426","36,720","10,689","59,798","33,010","30,209"
Oxford,"166,034","30,292","33,093","58,470","24,169","20,010"
South Oxfordshire,"156,470","32,332","9,107","49,375","32,632","33,024"
Vale of White Horse,"149,347","33,027","9,048","49,126","28,365","29,781"
West Oxfordshire,"120,941","24,276","7,544","37,507","24,639","26,975"
Elmbridge,"141,926","33,784","7,578","45,030","29,421","26,113"
Epsom and Ewell,"83,288","19,111","5,763","27,044","16,284","15,086"
Guildford,"151,359","29,207","19,557","48,546","27,997","26,052"
Mole Valley,"88,709","17,527","5,011","24,531","19,851","21,789"
Reigate and Banstead,"159,134","35,732","9,473","54,865","30,260","28,804"
Runnymede,"92,118","18,284","12,117","28,799","17,107","15,811"
Spelthorne,"107,074","23,157","7,068","37,208","20,457","19,184"
Surrey Heath,"94,492","19,636","5,763","30,300","19,554","19,239"
Tandridge,"90,586","19,681","5,574","27,044","18,911","19,376"
Waverley,"134,284","29,738","8,377","38,743","27,718","29,708"
Woking,"105,679","23,482","6,588","37,859","19,689","18,061"
Adur,"64,889","13,111","3,750","18,914","13,518","15,596"
Arun,"170,064","29,152","10,302","45,816","35,406","49,388"
Chichester,"128,934","22,714","9,853","33,775","26,865","35,727"
Crawley,"124,008","29,481","8,979","47,385","21,426","16,737"
Horsham,"151,521","30,903","8,279","44,423","32,195","35,721"
Mid Sussex,"161,755","35,421","9,056","51,329","32,333","33,616"
Worthing,"113,866","21,161","6,950","36,016","23,626","26,113"
Bath and North East Somerset,"200,028","36,601","30,812","56,690","36,841","39,084"
"Bristol, City of","494,399","92,705","73,982","194,570","70,856","62,286"
Cornwall,"583,289","105,786","40,417","158,641","126,839","151,606"
Isles of Scilly,"2,366",319,248,721,482,596
North Somerset,"224,578","44,360","13,874","66,672","45,722","53,950"
Plymouth,"272,067","52,113","30,424","88,382","49,809","51,339"
South Gloucestershire,"306,332","62,794","26,855","102,868","56,713","57,102"
Swindon,"243,875","54,244","16,408","85,930","47,525","39,768"
Torbay,"140,126","24,811","8,155","38,152","30,774","38,234"
Wiltshire,"523,700","104,201","33,522","155,190","110,636","120,151"
East Devon,"158,239","27,718","8,720","40,958","33,090","47,753"
Exeter,"138,399","22,558","27,897","43,405","21,807","22,732"
Mid Devon,"84,993","16,693","5,067","23,398","18,687","21,148"
North Devon,"101,222","18,776","6,094","27,248","22,303","26,801"
South Hams,"92,148","16,246","5,007","23,412","20,923","26,560"
Teignbridge,"138,548","24,249","7,504","37,348","30,890","38,557"
Torridge,"69,841","11,982","3,739","17,110","16,320","20,690"
West Devon,"58,923","9,942","3,282","14,164","14,048","17,487"
"Bournemouth, Christchurch and Poole","408,967","74,810","39,235","128,664","77,407","88,851"
Dorset,"389,947","67,149","21,826","96,003","85,923","119,046"
Cheltenham,"121,739","24,331","10,253","40,212","22,819","24,124"
Cotswold,"91,661","16,484","5,354","23,645","21,004","25,174"
Forest of Dean,"89,753","16,526","5,902","24,095","20,261","22,969"
Gloucester,"138,598","29,891","11,987","47,578","25,751","23,391"
Stroud,"125,680","24,434","7,215","36,134","27,901","29,996"
Tewkesbury,"101,949","21,497","5,736","32,098","20,236","22,382"
Mendip,-,-,-,-,-,-
Sedgemoor,-,-,-,-,-,-
South Somerset,-,-,-,-,-,-
Somerset West and Taunton,-,-,-,-,-,-
Isle of Anglesey,"69,097","12,927","3,984","17,783","15,454","18,949"
Gwynedd,"120,813","21,618","12,028","33,636","25,304","28,227"
