district_code,district_name,district_type,country,area_km2,centroid_lat,centroid_lon
E07000087,Fareham,LAD,England,74.26827139255839,50.85310440594781,-1.2223636366827872
E07000088,Gosport,LAD,England,25.328372884182812,50.80512740043015,-1.1610024788782454
E07000089,Hart,LAD,England,215.26733003989509,51.28483784930865,-0.897470313059744
E07000090,Havant,LAD,England,55.34139704235454,50.8484917481736,-0.9905951308357837
E07000091,New Forest,LAD,England,753.0473707316156,50.859915027892605,-1.6309169517944875
E07000092,Rushmoor,LAD,England,39.05094932564766,51.27347534679876,-0.7674759766216303
E07000093,Test Valley,LAD,England,627.601987991067,51.128639914621495,-1.5106421988693302
E07000094,Winchester,LAD,England,660.9634826562988,51.02829245145476,-1.2212248526298528
E07000095,Broxbourne,LAD,England,51.45476658802456,51.72513299264127,-0.04736673603100413
E07000096,Dacorum,LAD,England,212.45327845230025,51.778187869220126,-0.540906067970207
E07000098,Hertsmere,LAD,England,101.15378702134386,51.67727821457837,-0.2811053747403676
E07000099,North Hertfordshire,LAD,England,375.36862098165176,51.95908271135698,-0.19254997680968566
E07000102,Three Rivers,LAD,England,88.81174168380542,51.660975211729195,-0.46057488454286544
E07000103,Watford,LAD,England,21.395419699885448,51.66811753931689,-0.403366608949204
E07000105,Ashford,LAD,England,580.5837201932021,51.12532381347078,0.8114132734821813
E07000106,Canterbury,LAD,England,308.8745606680643,51.28091893018465,1.1048269899632774
E07000107,Dartford,LAD,England,72.76521419064844,51.42983403322811,0.252321875534172
E07000108,Dover,LAD,England,315.06056143655474,51.211510652785144,1.2878517809190217
E07000109,Gravesham,LAD,England,99.05704491361658,51.402366887238244,0.39506871134752247
E07000110,Maidstone,LAD,England,393.3202865556496,51.234999983123714,0.580598859631241
E07000111,Sevenoaks,LAD,England,370.3357248588765,51.27549454341143,0.17209033444926175
E07000112,Shepway,LAD,England,356.71934903457947,51.05570899889186,0.9942642678584083
E07000113,Swale,LAD,England,374.4111299963512,51.33567400848348,0.8159285078382639
E07000114,Thanet,LAD,England,103.37411377520772,51.354333685368005,1.3377005644375608
E07000115,Tonbridge and Malling,LAD,England,240.12148767419555,51.27343064232604,0.35755790700689394
E07000116,Tunbridge Wells,LAD,England,331.30641529611836,51.11438015391586,0.43067602591833926
E07000117,Burnley,LAD,England,110.68986798982455,53.778931174767166,-2.2219522803666325
E07000118,Chorley,LAD,England,202.7522424634832,53.66147895192191,-2.647762455277443
E07000119,Fylde,LAD,England,165.67232961537172,53.78786905001297,-2.9137200470853832
E07000120,Hyndburn,LAD,England,73.00408156481836,53.75864941784307,-2.389795665211368
E07000121,Lancaster,LAD,England,575.769048089871,54.070957821391076,-2.6918614041491087
E07000122,Pendle,LAD,England,169.37382148227033,53.86549784429647,-2.1849186230959474
E07000123,Preston,LAD,England,142.29498392425663,53.812079459669654,-2.6974494400261446
E07000124,Ribble Valley,LAD,England,584.4515068060265,53.90728127678368,-2.4447049263717022
E07000125,Rossendale,LAD,England,138.01958125558812,53.693819546308504,-2.267308211510223
E07000126,South Ribble,LAD,England,112.98422850115537,53.72797531172062,-2.708718379218217
E07000127,West Lancashire,LAD,England,346.753859342246,53.599289811641114,-2.8700457191812156
E07000128,Wyre,LAD,England,282.4899087304579,53.897087406787875,-2.831602492306995
E07000129,Blaby,LAD,England,130.4806666522786,52.57152836515207,-1.2219549475670868
E07000130,Charnwood,LAD,England,279.02083469424946,52.737020771511034,-1.1461596949471056
E07000131,Harborough,LAD,England,592.7246286528831,52.53932964965996,-1.0078975570218518
E07000132,Hinckley and Bosworth,LAD,England,297.357234158726,52.616502215226284,-1.3910257662733345
E07000133,Melton,LAD,England,481.3562992966116,52.79645492167516,-0.8561501991692549
E07000134,North West Leicestershire,LAD,England,279.3277755924646,52.75315847811077,-1.4050055527546623
E07000135,Oadby and Wigston,LAD,England,23.517256115756854,52.58714689037487,-1.0934148514392206
E07000136,Boston,LAD,England,364.8515173299728,52.973283619786386,-0.03766526110195651
E07000137,East Lindsey,LAD,England,1764.99263992477,53.25129111878911,0.02254496876813023
E07000138,Lincoln,LAD,England,35.64522905100681,53.2247317643978,-0.5549189979635646
E07000139,North Kesteven,LAD,England,922.4564377966601,53.08118571651771,-0.446151294590538
E07000140,South Holland,LAD,England,750.7878820815525,52.78853184598036,-0.048707211404619866
E07000141,South Kesteven,LAD,England,942.6065768587622,52.854460272071115,-0.5182630965411924
E07000142,West Lindsey,LAD,England,1155.6708958050147,53.392838592228536,-0.4764865481165608
E07000143,Breckland,LAD,England,1305.1175451167742,52.588142046067624,0.8372909050880408
E07000144,Broadland,LAD,England,552.3788507531915,52.70128476725923,1.3098617025771853
E07000145,Great Yarmouth,LAD,England,174.1951295473805,52.64227197745825,1.6597783029228197
E07000146,King's Lynn and West Norfolk,LAD,England,1438.305407431748,52.71829266176192,0.47543843450567325
E07000147,North Norfolk,LAD,England,964.9411920913006,52.8474814619808,1.1743198038872662
E07000148,Norwich,LAD,England,39.01200780442356,52.63306732923942,1.2769640320251667
E07000149,South Norfolk,LAD,England,907.6449234544815,52.51455189578949,1.2755099428372532
E07000150,Corby,LAD,England,80.27822553610369,52.4990790484879,-0.6959198125854795
